timestring,Person,Note,TM: Probevolumen,TM: Einwaage,End Result,Trockenmasse,Dünger total,N hinzugefügt,N total hinzugefügt,%N (CHN-Analyse),Volumen der Kultur,N in den Algen,NN4-N im Medium,Ntot im Medium,N in Algen und Medium,N recovered,N im Medium,N in Algae,N lost,sth1,sth2,sth3,sth4
date,,,ml,g,%,g/l,g/L,g,g,%,L,g,mg/L,g,%,%,%,%,%,,,,
14.05.2024 15:30:00.000,refa,"Experiment gestartet, DM3A hinzugefügt",200,13.875,,0,3,51.31,51.31,,220.00,,,,,,,,,0,,,
17.05.2024 10:00:00.000,refa,"300 ml Probe entnommen, Reaktor gereinigt",300,15.807,0.71,0.374099,,,51.31,,220.00,,,,,,,,,82.30178,,,
21.05.2024 13:00:00.000,refa,"200 ml Probe entnommen, Reaktor gereinigt",200,25.75,1.15,1.480625,,,51.31,,220.00,,,,,,,,,325.7375,,,
22.05.2024 13:00:00.000,refa,"100 ml Probe entnommen, DM6A hinzugefügt",100,14.431,1.5,2.16465,9,102.61,153.92,,220.00,,,,,,,,,476.223,,,
24.05.2024 08:00:00.000,refa,"Reaktor gereinigt, 100 ml Probe entnommen",100,27.668,1.12,3.098816,,,153.92,,220.00,,,,,,,,,681.73952,,,
28.05.2024 08:30:00.000,refa,"Reaktor gereinigt, 100 ml Probe entnommen",100,20.357,3.63,7.389591,,,153.92,,220.00,,,,,,,,,1625.71002,,,
29.05.2024 15:00:00.000,refa,"Reaktor gereinigt, 100 ml Probe entnommen für TM, 300 ml Probe entnommen für CHN und danach DM4.3A hinzugefügt.",100,24.72,3.4,8.4048,13.3,73.54,227.46,7.070,220.00,130.73,0.09,6.05,132.06,86,0,85,15,1849.056,0.5158,953.7430848,
31.05.2024 10:00:00.000,pfia,"Reaktor gereinigt, 50 ml Probe entnommen für TM, 300 ml Probe entnommen für CHN, DM6A hinzugefügt",50,21.21,2.76,11.70792,19.3,102.61,330.07,8.420,220.00,216.88,127.00,132.15,245.95,108,12,95,-8,2575.7424,0.5114,1317.234663,363.4915786
03.06.2024 11:00:00.000,pfia,"Reaktor gereinigt, 50 ml Probe entnommen für TM, 300 ml Probe entnommen für CHN",50,24.322,3.11,15.128284,,,330.07,8.380,220.00,278.91,567.00,453.30,378.63,115,38,84,-22,3328.22248,,,
05.06.2024 11:00:00.000,pfia,"Reaktor gereinigt, 50 ml Probe entnommen für TM, 300 ml Probe entnommen für CHN",50,25.531,3.02,15.420724,,,330.07,8.260,220.00,280.23,343.00,315.00,349.53,106,23,85,-8,3392.55928,,,
07.06.2024 08:00:00.000,refa,"Ernte,  50 ml Probe entnommen für TM, 300 ml Probe entnommen für CHN",50,19.902,3.61,14.369244,,,330.07,8.320,220.00,263.01,201.30,196.65,306.28,93,13,80,7,3161.23368,,,